ubc_number,mine,tsf,owner_company,country,latitude,longitude,status,construction_year,current_tailings_storage,planned_storage_5_years,hazard_categorization,source,link,index_right,um_class,conf,name,lith,ref_source,publish,dist_m,dist_km
1000,Agnew,Agnew Redeemer,Gold Fields,Australia,-28.062694,120.483917,Inactive,2004.0,10500000.0,10500000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,4863.993396365633,4.9
1015,Lawlers,Lawlers CI TSF,Gold Fields,Australia,-28.083511,120.552286,Closed,2006.0,670000.0,670000.0,low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,15.567137682640904,0.0
1013,Lawlers,Lawlers GEP TSF,Gold Fields,Australia,-28.078944,120.538333,Closed,2004.0,1281409.0,1281409.0,,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,508.01749096979967,0.5
1016,Lawlers,Lawlers HPI TSF,Gold Fields,Australia,-28.084439,120.558667,Closed,2001.0,971951.0,971951.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
1014,Lawlers,Lawlers LEP TSF,Gold Fields,Australia,-28.078833,120.543222,Closed,2004.0,1216794.0,1216794.0,,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,105.5610773669068,0.1
1011,Lawlers,Lawlers TSF 1,Gold Fields,Australia,-28.076253,120.540558,Closed,1985.0,511066.0,511066.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,132.2137476837435,0.1
1012,Lawlers,Lawlers TSF 2,Gold Fields,Australia,-28.083208,120.536378,Closed,1988.0,4800000.0,4800000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,996.2279659855068,1.0
1017,Lawlers,Lawlers TSF 3,Gold Fields,Australia,-28.080961,120.543644,Closed,2008.0,2500000.0,2500000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21713,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,243.81054249974,0.2
1019,St. Ives,St. Ives TSF 1,Gold Fields,Australia,-31.378611,121.793611,Re-mining,1987.0,12000000.0,8000000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21334,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,238.2540470775313,0.2
1020,St. Ives,St. Ives TSF 2,Gold Fields,Australia,-31.386111,121.797222,Inactive Care and Maintenance,1994.0,8800000.0,8800000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21334,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,462.6511004537101,0.5
