dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,chrysotile,amphibole,dist_km,um_class
10026100,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026100,K002568,,Brockton Mine,35.13289,-83.06405,,United States,North Carolina,Jackson,N,"Corundum, Asbestos",,,Unknown,,Y,Past Producer,"Asbestos, Corundum",,,,,,,,,,"Fagan, James M.",,,,,,Folded Blue Ridge,"CONRAD, S.G., AND OTHERS, 1963, ANTHOPHYLLITE ASBESTOS IN NORTH CAROLINA: NORTH CAROLINA DIV. MINERAL RESOURCES BULL. 77, 61P.1905 RECON PRATT AND LEWIS, 1905, REPT1963 RECON CONRAD, 1963, REPORT",,1885.0,,,,,,,C,False,False,4.2,major
10026101,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026101,K002569,,Jennings No. 2 Asbestos Mine,35.05178,-83.05487,,United States,North Carolina,Jackson,N,"Corundum, Asbestos",,,Unknown,,Y,Past Producer,"Asbestos, Corundum",,,LENS,,,,,Whitewater Corundum Mine,,"Fagan, James M.",,Schist,,Pegmatite,,,"CONRAD, S.G., AND OTHERS, 1963, ANTHOPHYLLITE ASBESTOS IN NORTH CAROLINA: NORTH CAROLINA DIV. MINERAL RESOURCES BULL. 77, 61P1963 RECON CONRAD, S.G., REPORCONRAD, S.G. 1963",,1950.0,,,,,,,C,False,False,7.0,major
10026102,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026102,K002571,,Coldsides Mountain Mine,35.03567,-83.07988,,United States,North Carolina,Jackson,N,Asbestos,,,Unknown,,S,Past Producer,Asbestos,,,LENS,Surface,,,,,,"Fagan, James M.",,Gneiss,,Amphibolite,Folded Blue Ridge,,"CONRAD, S.G., AND OTHERS, 1963, ANTHOPHYLLITE ASBESTOS IN NORTH CAROLINA: NORTH CAROLINA DIV. MINERAL RESOURCES BULL. 77, 61P1963 RECON CONRAD, S.G., REPORCONRAD, S.G., 1963",,1955.0,,,,,1955-1956,,C,False,False,10.4,major
10026104,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026104,K002573,,Bryson Asbestos Mine,35.13511,-83.17182,,United States,North Carolina,Jackson,N,Asbestos,,,Unknown,,Y,Past Producer,Asbestos,,,LENS (),,,,,,,"Fagan, James M.",,Gneiss,,,,,"CONRAD, S.G., AND OTHERS, 1963, ANTHOPHYLLITE ASBESTOS IN NORTH CAROLINA: NORTH CAROLINA DIV. MINERAL RESOURCES BULL. 77, 61P1963 RECON CONRAD, S.G., REPORCONRAD, S.G., 1963, N.C. DIV. MIN. RES. BULL. 77",,,,,,,,,C,False,False,7.6,major
10026105,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026105,K002574,,Manus Asbestos Mine,35.13344,-83.15432,,United States,North Carolina,Jackson,N,Asbestos,,,Unknown,,Y,Past Producer,Asbestos,,,,,,,,,,"Fagan, James M.",,,,,,,"CONRAD, S.G., AND OTHERS, 1963, ANTHOPHYLLITE ASBESTOS IN NORTH CAROLINA: NORTH CAROLINA DIV. MINERAL RESOURCES BULL. 77, 61P1963 RECON CONRAD, S.G., REPORCONRAD, S.G., 1963, N.C. DIV. MIN. RES. BULL. 77",,,,,,,,,C,False,False,8.4,major
10026106,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026106,K002576,,Alders Asbestos Mine,35.18594,-83.11238,,United States,North Carolina,Jackson,N,Asbestos,,,Unknown,,Y,Past Producer,Asbestos,,,,,,,,,,"Fagan, James M.",,,,,,,"CONRAD, S.G., AND OTHERS, 1963, ANTHOPHYLLITE ASBESTOS IN NORTH CAROLINA: NORTH CAROLINA DIV. MINERAL RESOURCES BULL. 77, 61P1963 RECON CONRAD, S.G., REPORCONRAD, S.G., 1963, N.C. DIV. MIN. RES. BULL. 77",,1955.0,,,,,,,C,False,False,9.7,major
10026486,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026486,K005129,,Morgan Hill Chromite Prospect,35.77177,-82.5068,,United States,North Carolina,Buncombe,B,"Chromium, Olivine",,"Nickel, Talc-Soapstone, Asbestos",Unknown,,Y,Past Producer,"Asbestos, Chromite, Garnierite, Olivine, Talc","Chalcedony, Vermiculite",,POD/LENS,Surface/Underground,,,Chromite Is Concentrated Through Residual And Mechanical Concentration (Stream Placers) Weathering For Nickel.,,"Dunite Bodies. Residual Conc. And Stream Placers For Chromite, Weathering Residual For Nickel.","Merschat, Carl E.",Bio Horn Migmatite (Unit 2) Roan Gneiss,Gneiss,,,,Blue Ridge,"HUNTER, C. E., MURDOCK, T. G., AND MACCARTHY, G. R., 1942, CHROMITE DEPOSITS OF NORTH CAROLINA: NORTH CAROLINA DEPARTMENT OF CONSERV. AND DEVEL., DIV. OF MINERAL RESOURCES BULL. 42, 39 P.HUNTER, C. E., 1941, FORSTERITE OLIVINE DEPOSITS OF NORTH CAROLINA AND GEORGIA: NORTH CAROLINA DEPT. OF CONSERV. AND DEVEL., DIV. OF MINERAL RESOURCES, BULL. 41, 117 P.PRATT, J. H. AND LEWIS, J. V., 1905, CORUNDUM AND THE PERIDOTITES OF WESTERN NORTH CAROLINA: RALEIGH, NORTH CAROLINA GEOLOGICAL SURVEY, VOL. 1 464 P.BENTZEN, E. H. III, 1970, CHEMICAL COMPOSITION OF SOME NORTH CAROLINA CHROMITE: ECON. GEOL. V. 65 P. 883-885.5) MERSCHAT, C. E., IN PROGRESS 1976, GEOLOGIC MAP AND MINERAL RESOURCES SUMMARY OF THE MARS HILL QUADRANGLE, NORTH CAROLINA:  NORTH CAROLINA DEPARTMENT OF NAT. & ECON.  RESOURCES, MINERAL RESOURCES SECTION  GM 191-SE AND MRS 191-SE.6) PAWEL, G. W., 1939, NICKEL IN NORTH CAROLINA: THE SO-LONG KNOWN SILICATE ORES OF JACKSON CO. ONCE MORE INVITE ATTENTION: ENG. MINING JOUR. V. 140, NO. 10, P. 35 - 38.7) WORTHINGTON, J. E., 1964, AN EXPLORATION PROGRAM FOR NICKEL IN THE SOUTHEASTERN UNITED STATES: ECON. GEOL. V. 59, P. 97 - 109.8) CARPENTER, R. H. AND HALE, R. C. 1967, NICKELIFEROUS SOILS AND STREAM SEDIMENTS ASSOCIATED WITH PERIDOTITES NEAR DEMOCRAT, NORTH CAROLINA: SOUTHEASTERN GEOL. V. 8, NO. 1, P. 9 - 18.5) MERSCHAT, C. E., IN PROGRESS 1976, GEOLOGIC MAP AND MINERAL RESOURCES SUMMARY OF THE MARS HILL QUADRANGLE; NORTH CAROLINA: NORTH CAROLINA DEPT. NAT. AND ECON. RESOURCES, MINERAL RESOURCES SEC. GM 191-SE AND MRS 191-SE1905 COMPILE PRATT & LEWIS N. C. GEOLOGICAL SURVEY1941 COMPILE HUNTER, N. C. DEPT. CONS. & DEVEL.1942 GEOPHYS HUNTER, ET AL., N. C. DEPT. CONS. & DEVEL.HUNTER, C. E., 1941, FORSTERITE OLIVINE DEPOSITS OF N. CAROLINA & GEORGIA",,,,,,,,,B,False,False,0.2,major
10026850,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026850,M000506,,Loafer Claim Mine,33.75813,-110.92987,,United States,Arizona,Gila,N,Asbestos,,,Unknown,,S,Past Producer,Chrysotile,,,IRREGULAR,Surface/Underground,,,"The Prospects Are On The East Side Of A Fault, West Of Which Is Diabase.","Poscket Creek, Zimmerman Dome, Old Knighton Property, Asbestos Peak",,"Hall, R. K. (Creasey, S. C.), Orris, Greta J.",Mescal Limestone,Limestone,,Diabase,,,"STEWART, L.A., 1956, CHRYSOTILE-ASBESTOS DEPOSITS IN ARIZONA:  USBM INFORMATION CIRCULAR 7745, P. 36.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRI",,,,,,,,,B,True,False,363.6,
10026860,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026860,M000634,,Roadside Mine,33.81814,-110.48097,,United States,Arizona,Gila,B,Asbestos,"Gold, Silver",,Unknown,Vein,S,Past Producer,Chrysotile,,,LINEAR,Underground,,,The Greatest Concentration Of Fibers Is In The Vicinity Of Minor Thrust Faults.,Prochnow Or Cibecue Workings,,"Hall, R. K. (Creasey, S. C.), Orris, Greta J.",Mescal Limestone,Limestone,,Diabase,,,"MOORE, R.T., 1968, MINERAL DEPOSITS OF THE FORT APACHE INDIAN RESERVATION, ARIZONA:  ABM BULLETIN 177, P. 46.STEWART, L.A., 1955, CHRYSOTILE-ASBESTOS DEPOSITS OF ARIZONA:  USBM INFORMATION CIRCULAR 7706, P. 48.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRI",,,,,,,,,C,True,False,406.5,
10026863,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026863,M000639,,Fourth of July,33.80063,-110.61291,,United States,Arizona,Gila,B,"Asbestos, Iron",,,Unknown,Vein,S,Past Producer,"Chrysotile, Magnetite",,,LINEAR,Unknown,,,,Blue Eyes Group,,"Hall, R. K. (Creasey, S. C.), Orris, Greta J.",Mescal Limestone,Limestone,,Diabase,"The Diabase Has An Undulating, Concordant Contact, Which Is Reflected In The Limestone As Minor Anticlines And Synclines.",,"STEWART, L.A., 1955, CHRYSOTILE-ASBESTOS DEPOSITS OF ARIZONA:  USBM INFORMATION CIRCULAR 7745, P. 34.HARPER, C.M., 1964, RECONNAISSANCE OF IRON RESOURCES IN ARIZONA:  USBM INFORMATION CIRCULAR 8236, P. 34.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRI",,,,,,,,,B,True,False,393.9,
10026967,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10026967,M001415,,Abril Mine,31.90846,-109.99177,,United States,Arizona,Cochise,B,"Zinc, Copper, Lead","Molybdenum, Silver, Gold, Tungsten","Wollastonite, Asbestos, Bismuth, Beryllium, Lithium, Cadmium, Gallium",Unknown,,S,Producer,"Chalcopyrite, Ferrimolybdite, Galena, Gold, Molybdenite, Silver, Sphalerite, Wollastonite","Chrysotile, Epidote, Garnet",,IRREGULAR,Unknown,,,,"Dos Hermanos, Herrera",Beneath Bedding Plane Faults And Associated With Fissures,"Gere, W., Gest, Don E., Orris, Greta J.",Naco Group Limestone,Limestone,Stronghold Granite,Rhyolite,"Fault N30 To 45w Brings Quartzite On The Sw Against Limestone On Ne.  Bedding Plane Faults, Ne 25-45, And Minor Ne Fissures",,"USBM FILES.KEITH, S.B., 1973, ARIZONA BUREAU OF MINES BULLETIN 187, P. 68.USGS MR-22, P. 4.ARIZONA DEPT OF MINERAL RESOURCES FILE DATA.PEIRCE, H.W., 1990, ARIZONA GEOLOGICAL SURVEY INDUSTRIAL MINERALS CARD FILE.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRIKEITH, 1973, ARIZ. BUR. OF MINES BULL. 187.",,,,1953.0,,,,,B,True,False,367.5,
10027085,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027085,M001965,,Loey and Lena Mine,33.8584,-110.57013,,United States,Arizona,Gila,N,Asbestos,,,Unknown,Vein,S,Past Producer,Chrysotile,,,LINEAR,Surface/Underground,,,,Lorie and Lena,,"Hall, R. K. (Creasey, S. C.), Orris, Greta J.",Mescal Limestone,Limestone,,Diabase,,,"MOORE, R.T., 1968, MINERAL DEPOSITS OF THE FORT APACHE INDIAN RESERVATION, ARIZONA:  ABM BULLETIN 177, P. 51.STEWART, L.A., 1955, CHRYSOTILE - ASBESTOS DEPOSITS IN ARIZONA:  USBM INFORMATION CIRCULAR 7706, P. 47.WILSON, E.D., 1928, ASBESTOS DEPOSITS OF ARIZONA:  ABM BULLETIN 126, P. 65.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRI",,,,,,,,,B,True,False,402.0,
10027089,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027089,M001975,,Canadian Mine,33.80702,-110.54263,,United States,Arizona,Gila,N,Asbestos,,,Unknown,,S,Past Producer,Chrysotile,,,"LINEAR, TABULAR",Underground,,,Contact Metasomatism,"Asbestos King Claims, Ladder","Contact Zone, Fracturing","Hall, R. K. (Creasey, S. C.), Orris, Greta J.",Mescal Limestone,Limestone,,Diabase,,Basin And Range,"STEWART, L.A., 1955, CHRYSOTILE - ASBESTOS DEPOSITS OF ARIZONA:  USBM INFORMATION CIRCULAR 7706, P.  22.SAWYER, M.B., GURMENDI, A.C., DALEY, M.R., AND HOWELL, S.B., 1992, PRINCIPAL DEPOSITS OF STRATEGIC AND CRITICAL MINERALS IN ARIZONA:  UNITED STATS BUREAU OF MINES SPECIAL PUBLICATION, 334 P.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRI",,1920.0,,1953.0,,1916.0,,,B,True,False,400.4,
10027306,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027306,M002802,,Hance Mine,36.04613,-111.94186,,United States,Arizona,Coconino,N,Asbestos,,,Unknown,,S,Past Producer,,Serpentine,,,,,,,,Mine Is At Upper Contact Of Sill And Limestone,"Jones, Royce (Creasey, S.C.), Orris, Greta J.",Occurs In Bass Limestone,"Limestone,Chert",,Diabase,,,"BREED, W.J. AND ROAT, ED, 1974,  GEOLOGY OF THE GRAND CANYON, P. 172.USGS, 1969 , MINERAL AND WATER RESOURCES OF ARIZONA;  P. 308.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRI",,,,,,,,,C,True,False,402.3,major
10027320,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027320,M002869,,American Ores Mine,33.75951,-110.94348,,United States,Arizona,Gila,N,Asbestos,,,Unknown,,S,Past Producer,Chrysotile,Serpentine,,LENSES,Underground,,,,Asbestos Peak Property,,"Gere, W., Hall, R. K. (Creasey, S. C.), Orris, Greta J.",Mescal Limestone,Limestone,,Diabase,See Comments,,"STEWART, L.A., 1955, CHRYSOTILE-ASBESTOS DEPOSITS OF ARIZONA:  USBM INFORMATION CIRCULAR 7706, P. 64.WILSON, E.D., 1928, ASBESTOS DEPOSITS OF ARIZONA:  ABM BULLETIN 126, P. 66.ECON GEOL, V.L 18, P. 663.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.CIMRIUSBM INFORMATION CIRCULAR 7706 , P. 65",,,,,,,,,B,True,False,362.5,
10027325,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027325,M002875,,Pueblo-Lucky Strike Prospect,33.85618,-110.89903,,United States,Arizona,Gila,B,"Iron, Asbestos",,,Unknown,,S,Past Producer,"Chrysotile, Magnetite",,,IRREGULAR,,,,,,"At The Pueblo Mine, Three Beds Containing Massive To Disseminated Magnetite, To As Much As 18 - Feet Thick Locally, Are Seperated By About 10 Feet Of Altered And Serpentinized Limestone And Asbestos","Gere, W., Hall, R. K. (Creasey, S. C.)",Mescal Limestone,Limestone,,Diabase,,,"HARPER, C.M., 1964, RECONNAISANCE OF IRON RESOURCES IN ARIZONA:  USBM INFORMATION CIRCULAR 8236, P. 52.STEWART, L.A., 1955, CHRYSOTILE-ASBESTOS DEPOSITS IN ARIZONA:  USBM INFORMATION CIRCULAR 7706, P. 7.WILSON, E.D., 1928, ASBESTOS DEPOSITS OF ARIZONA:  ABM BULLETIN 126, P. 81.PHILLIPS, K.A., 1987, ARIZONA INDUSTRIAL MINERALS:  ARIZONA DEPARTMENT OF MINES AND MINERAL RESOURCES MINERAL REPORT 4, 185 P.",,,,,,,,,B,True,False,373.8,
