um_class,idonly,idonly,major,major,major,minor,minor,minor,ophiolite,ophiolite,ophiolite,major_total,ophiolite_total
conf,high,medium,high,low,medium,high,low,medium,high,low,medium,,
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.303
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.092,0.0,0.0,0.092
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.0,0.263,1.939,0.0,2.202
China,0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.109,0.055,0.0,0.164
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.335,0.0,0.346
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.236
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.118
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.034
Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.071
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.028
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.959,0.0,0.959
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.298,0.0,0.298
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687,0.0,0.687
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,4.77,0.0,4.77
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.192,0.0,0.192
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.976
East Timor,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.0,0.387
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.666,0.0,0.666
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.006,0.0,0.048
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207,0.569,0.0,1.776
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.142,0.0,0.142
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.398,0.0,0.801
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.271,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.124
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04
eSwatini,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0
