z,x,y
5,0,7
5,0,8
5,1,7
5,1,8
5,1,9
5,2,8
5,2,9
5,3,7
5,3,8
5,4,8
5,4,9
5,4,10
5,4,11
5,5,7
5,5,8
5,5,9
5,5,10
5,5,11
5,5,12
5,6,7
5,6,8
5,6,9
5,7,2
5,7,6
5,7,7
5,7,8
5,7,9
5,8,4
5,8,5
5,8,6
5,8,7
5,8,8
5,8,12
5,9,1
5,9,2
5,9,4
5,9,5
5,9,6
5,9,7
5,9,8
5,9,9
5,9,11
5,9,12
5,10,4
5,10,5
5,10,7
5,10,8
5,10,9
5,10,10
5,10,11
5,10,14
5,11,6
5,11,7
5,11,10
5,11,11
5,12,7
5,12,8
5,13,6
5,13,7
5,14,11
5,14,12
5,15,9
5,15,10
5,15,11
5,15,12
5,16,8
5,16,9
5,16,11
5,16,12
5,17,7
5,17,8
5,17,10
5,17,11
5,17,12
5,18,7
5,18,8
5,18,9
5,18,11
5,18,12
5,19,7
5,19,8
5,19,11
5,19,12
5,20,12
5,21,7
5,21,8
5,21,9
5,21,10
5,21,14
5,23,9
5,24,6
5,24,9
5,25,6
5,25,7
5,26,6
5,26,7
5,26,17
5,27,17
5,27,18
5,28,6
5,28,7
5,28,8
5,28,16
5,28,17
5,28,20
5,29,16
5,29,17
5,29,18
5,29,19
5,29,20
5,30,7
5,30,8
5,30,9
5,31,8
5,31,9
