legend_id,source_id,scale,um_class,um_terms,um_rock,name,lith,area_km2,lith_id
19386,20,large,major,serpentin,serpentinite,Baker Terrane,"Major: {serpentinite, black, dark green; alteration: silicified; mineralogy: orthopyroxene serpentine; alteration: hydrothermal}",0.425,88
46449,42,large,idonly,harmonised-lith-id,,Carbonate-silicate rock,,0.01,18;88
16584,13,large,major,serpentin;ultramaf,serpentinite,Undifferentiated Dun Mountain Ultramafics Group serpentinite,"Major:: {serpentinite},Minor:: {peridotite, rodingite}",9.645,61;88
16518,13,large,minor,ultramaf,ultramafic rock (undifferentiated),Undifferentiated Brook Street mylonite,"Major:: {mylonite},Minor:: {gabbro, dolerite, amphibolite, diorite, granite, schist, ultramafics}",11.21,53;57;59;81;84;86;94
14358,13,large,major,serpentin;ultramaf,serpentinite,Croisilles Melange (Caples Terrane),"Major:: {melange},Minor:: {serpentinite, ultramafic volcanics, mafic volcanics}",49.27,63;88;161
53449,91,large,major,serpentin,serpentinite,Serpentinite,,71.479,61;88;128
16578,13,large,major,peridotit;ultramaf,peridotite,Undifferentiated Dun Mountain Ultramafics Group peridotite,"Major:: {peridotite},Minor:: {dunite, wehrlite, clinopyroxenite, gabbro, troctolite, serpentinite}",1.777,59;61;62;88;105;128
14677,13,large,major,pyroxenit,pyroxenite,Hokuri Intrusives,"Major:: {pyroxenite},Minor:: {andesite, basalt, dolerite, schist, diorite}",9.961,57;62;69;70;84;94
86734,237,large,major,ophiolit,ophiolite complex,Ophiolitic intrusive rocks,,0.754,
19464,20,large,major,serpentin,serpentinite,Baker Terrane; Burnt River Schist,"Major: {serpentinite, veins: veinlets talc chalcedony; mineralogy: chrysotile/lizardite hornblende}",0.012,88
25592,20,large,major,peridotit;serpentin,dunite,Western Klamath Terrane; Rogue Valley Subterrane,"Major: {dunite, serpentinization: serpentinized}; Major: {peridotite, serpentinization: serpentinized} Minor: {gabbro}; Minor: {meta-volcanic rocks}; Minor: {meta-sedimentary rocks}",0.242,59;61;63;111;128
25709,20,large,major,serpentin,serpentinite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {serpentinite, green, blue black; serpentinization: complete}",0.687,88
25660,20,large,major,pyroxenit;serpentin,pyroxenite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {clinopyroxenite, serpentinization: serpentinized; mineralization: olivine, clinopyroxenes}",1.857,62
