dep_id,site_name,latitude,longitude,country,state,commod1,commod2,commod3,dev_stat,prod_size,ore,gangue,hrock_type,hrock_unit,asbestos,ultramafic_host_text
10107661,Sylvanite Mine,42.46315,-123.02308,United States,Oregon,"Gold, Silver, Lead, Tungsten",,,Producer,S,"Galena, Gold, Pyrite, Scheelite, Silver","Chlorite, Quartz, Serpentine",Argillite,Applegate Group;Applegate Group,False,True
10107740,Keefer Brothers,48.15454,-120.89037,United States,Washington,Molybdenum,"Tungsten, Copper","Lead, Silver, Gold, Bismuth, Zinc, Chromium, Antimony, Cobalt, Nickel, Uranium",Producer,Y,"Chalcopyrite, Molybdenite, Pyrite, Scheelite, Uraninite","Chlorite, Quartz, Tourmaline",Diorite,,False,False
10107993,Masonville District,40.48692,-105.21087,United States,Colorado,"Gold, Silver",Tungsten,"Copper, Nickel",Producer,S,"Chalcopyrite, Pyrite, Scheelite","Epidote, Hematite, Limonite, Malachite, Montmorillonite, Quartz",Tonalite,Tonalite;Metasedimentary Rocks--Mica Schist,False,False
10107995,Elk Park Mine,37.71501,-107.6562,United States,Colorado,Uranium,,"Copper, Nickel, Molybdenum, Silver",Producer,S,"Erythrite, Uraninite","Hematite, Limonite, Pyrite, Quartz",Quartzite,Uncompahgre Formation,False,False
10108244,Copper King Nickel Mine,40.05527,-105.42031,United States,Colorado,"Cobalt, Nickel",Copper,,Past Producer,Y,"Chalcopyrite, Niccolite, Pentlandite, Pyrrhotite",Pyrite,Amphibole Schist,Idaho Springs Formation,False,False
10108388,Turret Deposit,38.64361,-105.98031,United States,Colorado,Vermiculite,,,Producer,Y,Vermiculite,,Amphibolite,,False,False
10108399,Gem Park,38.27112,-105.54603,United States,Colorado,Vermiculite,,,Producer,Y,Vermiculite,,,,False,False
10108480,Mohawk Mine,45.67823,-112.32838,United States,Montana,Chromium,,,Producer,S,Chromite,,,,False,False
10109097,Courtwright Property Daggett Lease,38.31296,-120.85852,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109032,Rosa Claims,33.8709,-110.9482,United States,Arizona,Asbestos,,,Producer,S,Chrysotile,,Limestone,Mescal Limestone,True,False
10109076,Dean Mine,37.95158,-120.55211,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109082,Douglas Mine,37.55297,-121.62103,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109083,Jones,37.52435,-121.68714,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109089,Newman Cedar Mtn. Claim Or Mendenhall Mine,37.5538,-121.6252,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109098,Fields,38.28491,-120.82991,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109101,Taylor Ranch,38.49129,-120.91269,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109103,Wait Property,38.43657,-120.90408,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109113,Lambert Mine 3,39.79181,-121.61412,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109125,Suzy Bell Lucky Strike Mine,39.53423,-121.17688,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109131,Fields and Stoker Mine,38.26824,-120.82713,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109133,Maxwell Claim,38.1388,-120.73545,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109136,Gillam Mine,38.22519,-120.79045,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
