z,x,y,source_id,n_features
8,0,56,2,1
8,0,57,2,1
8,0,58,2,1
8,0,59,2,10
8,0,60,2,10
8,0,61,2,13
8,0,62,2,9
8,0,63,2,10
8,0,64,2,15
8,0,65,2,13
8,0,66,2,7
8,0,67,2,2
8,0,68,2,1
8,0,69,2,3
8,0,70,2,5
8,0,71,2,2
8,1,56,2,1
8,1,57,2,1
8,1,58,2,1
8,1,59,2,2
8,1,60,2,14
8,1,61,2,13
8,1,62,2,15
8,1,63,2,9
8,1,64,2,8
8,1,65,2,10
8,1,66,2,5
8,1,67,2,3
8,1,68,2,1
8,1,69,2,1
8,1,70,2,3
8,1,71,2,2
8,2,56,2,1
8,2,57,2,1
8,2,58,2,1
8,2,59,2,1
8,2,60,2,5
8,2,61,2,20
8,2,62,2,15
8,2,63,2,13
8,2,64,2,7
8,2,65,2,8
8,2,66,2,9
8,2,67,2,6
8,2,68,2,1
8,2,69,2,1
8,2,70,2,1
8,2,71,2,1
8,3,56,2,1
8,3,57,2,1
8,3,58,2,1
8,3,59,2,1
8,3,60,2,1
8,3,61,2,11
8,3,62,2,36
8,3,63,2,24
8,3,64,2,22
8,3,65,2,8
8,3,66,2,21
8,3,67,2,9
8,3,68,2,4
8,3,69,2,2
8,3,70,2,1
8,3,71,2,1
8,4,56,2,1
8,4,57,2,1
8,4,58,2,1
8,4,59,2,1
8,4,60,2,1
8,4,61,2,1
8,4,62,2,6
8,4,63,2,15
8,4,64,2,32
8,4,65,2,17
8,4,66,2,19
8,4,67,2,32
8,4,68,2,7
8,4,69,2,1
8,4,70,2,1
8,4,71,2,1
8,5,56,2,2
8,5,57,2,2
8,5,58,2,2
8,5,59,2,1
8,5,60,2,1
8,5,61,2,1
8,5,62,2,1
8,5,63,2,21
8,5,64,2,16
8,5,65,2,32
8,5,66,2,33
8,5,67,2,31
8,5,68,2,8
8,5,68,21,16
8,5,69,2,3
8,5,69,21,10
8,5,70,21,1
8,5,70,2,1
8,5,71,2,1
8,6,56,2,3
8,6,57,2,2
8,6,58,2,2
8,6,59,2,1
8,6,60,2,1
8,6,61,2,1
8,6,62,2,2
8,6,63,2,15
8,6,64,2,24
8,6,65,2,29
8,6,66,2,3
8,6,67,2,6
8,6,68,2,4
8,6,68,21,28
8,6,69,21,116
8,6,70,21,1
8,6,70,2,1
8,6,71,2,1
8,7,56,2,2
8,7,57,2,2
8,7,58,2,2
8,7,59,2,1
8,7,60,2,1
8,7,61,2,1
8,7,62,2,2
8,7,63,2,2
8,7,64,21,1
8,7,64,2,19
8,7,65,21,3
8,7,65,2,9
8,7,66,21,1
8,7,66,2,2
8,7,67,2,2
8,7,68,2,2
8,7,68,21,2
8,7,69,21,170
8,7,70,2,3
8,7,70,21,1
8,7,71,2,1
8,8,56,2,2
8,8,57,2,2
8,8,58,2,3
8,8,59,2,2
8,8,59,21,1
8,8,60,21,1
8,8,60,2,1
8,8,61,21,1
8,8,61,2,1
8,8,62,2,3
8,8,63,2,3
8,8,63,21,1
8,8,64,21,2
8,8,64,2,2
8,8,65,21,37
8,8,66,21,3
8,8,66,2,1
8,8,67,21,1
8,8,67,2,1
8,8,68,21,2
8,8,68,2,2
8,8,69,21,9
8,8,69,2,2
8,8,70,21,2
8,8,70,2,1
8,8,71,21,2
8,8,71,2,1
8,8,72,21,2
8,8,72,2,1
8,8,73,21,1
8,8,73,2,1
8,8,74,21,6
8,8,74,7,1
8,8,74,2,1
8,8,75,7,1
8,8,75,21,1
8,8,76,7,1
8,8,77,7,1
8,8,78,7,4
8,8,79,7,4
8,9,56,2,2
8,9,57,2,1
8,9,58,2,2
8,9,59,2,3
8,9,59,21,105
8,9,60,21,336
8,9,61,2,2
8,9,61,21,6
8,9,62,2,2
8,9,63,2,2
8,9,63,21,1
8,9,64,21,27
8,9,65,21,131
8,9,66,21,44
8,9,67,21,18
8,9,68,21,1
8,9,68,2,2
8,9,69,2,2
8,9,69,21,1
8,9,70,21,1
8,9,71,21,22
8,9,72,21,14
8,9,73,21,14
8,9,74,21,117
8,9,75,7,1
8,9,75,21,1
8,9,76,7,1
8,9,77,7,1
8,9,78,7,1
8,9,79,7,2
8,10,56,2,2
8,10,57,21,1
8,10,57,2,1
8,10,58,21,1
8,10,58,2,1
8,10,59,21,269
8,10,59,2,1
8,10,60,21,1382
8,10,61,21,866
8,10,61,2,2
8,10,62,21,1
8,10,62,2,1
8,10,63,21,6
8,10,63,2,1
8,10,64,21,72
8,10,65,21,52
8,10,66,21,168
8,10,67,21,45
8,10,68,21,3
8,10,68,2,1
8,10,69,21,16
8,10,69,2,1
8,10,70,21,95
8,10,71,21,403
8,10,72,21,322
8,10,73,21,133
8,10,74,21,17
8,10,75,7,2
8,10,75,21,2
8,10,76,7,2
8,10,77,7,1
8,10,78,7,1
8,10,79,7,1
8,11,56,2,2
8,11,57,21,2
8,11,57,2,1
8,11,58,21,13
8,11,59,21,325
8,11,60,21,1625
8,11,61,21,1357
8,11,62,21,331
8,11,63,21,23
8,11,64,21,55
8,11,65,21,76
8,11,66,21,123
8,11,67,21,62
8,11,68,21,2
8,11,69,21,80
8,11,70,21,143
8,11,71,21,370
8,11,72,21,329
8,11,73,21,191
8,11,74,21,166
8,11,75,7,1
8,11,75,21,1
8,11,76,7,3
8,11,77,7,1
8,11,78,7,1
8,11,79,7,1
8,11,79,21,1
8,12,56,21,64
8,12,56,2,1
8,12,57,21,215
8,12,57,2,2
8,12,58,21,114
8,12,59,21,293
8,12,60,21,2650
8,12,61,21,1119
8,12,62,21,621
8,12,63,21,82
8,12,64,21,81
8,12,65,21,131
8,12,66,21,153
8,12,67,21,58
8,12,68,21,12
8,12,69,21,126
8,12,70,21,222
8,12,71,21,433
8,12,72,21,403
8,12,73,21,301
8,12,74,21,265
8,12,75,21,80
8,12,75,7,1
8,12,76,7,4
8,12,76,21,47
8,12,77,7,1
8,12,77,21,1
8,12,78,7,1
8,12,79,7,3
8,12,79,21,18
8,13,56,21,310
8,13,57,21,239
8,13,58,21,53
8,13,59,21,422
8,13,60,21,2922
8,13,61,21,654
8,13,62,21,164
