z,x,y
8,71,100
8,72,16
8,72,32
8,72,33
8,72,35
8,72,36
8,72,38
8,72,39
8,72,40
8,72,41
8,72,49
8,72,50
8,72,51
8,72,52
8,72,53
8,72,54
8,72,55
8,72,56
8,72,57
8,72,65
8,72,66
8,72,67
8,72,68
8,72,69
8,72,70
8,72,71
8,72,72
8,72,73
8,72,74
8,72,91
8,72,92
8,72,97
8,72,98
8,72,99
8,72,100
8,73,15
8,73,16
8,73,32
8,73,33
8,73,34
8,73,35
8,73,36
8,73,49
8,73,50
8,73,51
8,73,52
8,73,53
8,73,54
8,73,55
8,73,56
8,73,57
8,73,58
8,73,65
8,73,66
8,73,67
8,73,68
8,73,69
8,73,70
8,73,71
8,73,72
8,73,73
8,73,74
8,73,91
8,73,92
8,73,94
8,73,96
8,73,97
8,74,32
8,74,33
8,74,35
8,74,51
8,74,52
8,74,53
8,74,54
8,74,55
8,74,56
8,74,57
8,74,58
8,74,59
8,74,60
8,74,65
8,74,66
8,74,67
8,74,70
8,74,71
8,74,72
8,74,73
8,74,74
8,74,91
8,74,92
8,74,96
8,74,97
8,75,52
8,75,53
8,75,54
8,75,55
8,75,56
8,75,57
8,75,58
8,75,59
8,75,60
8,75,61
8,75,65
8,75,66
8,75,67
8,75,68
8,75,70
8,75,71
8,75,72
8,75,73
8,75,74
8,75,95
8,75,96
8,76,53
8,76,54
8,76,55
8,76,56
8,76,57
8,76,58
8,76,59
8,76,60
8,76,61
8,76,62
8,76,67
8,76,68
8,76,69
8,76,71
8,76,72
8,76,73
8,76,74
8,76,91
8,76,92
8,76,93
8,76,94
8,76,95
8,77,54
8,77,55
8,77,56
8,77,57
8,77,58
8,77,59
8,77,60
8,77,61
8,77,62
8,77,63
8,77,64
8,77,65
8,77,66
8,77,67
8,77,68
8,77,69
8,77,70
8,77,71
8,77,72
8,77,73
8,77,74
8,77,90
8,77,91
8,77,92
8,77,93
8,77,94
8,77,95
8,78,41
8,78,55
8,78,56
8,78,57
8,78,58
8,78,59
8,78,60
8,78,61
8,78,62
8,78,63
8,78,64
8,78,65
8,78,66
8,78,67
8,78,68
8,78,69
8,78,70
8,78,72
8,78,73
8,78,74
8,78,90
8,78,91
8,78,92
8,78,93
8,79,36
8,79,37
8,79,40
8,79,41
8,79,42
8,79,55
8,79,56
8,79,57
8,79,58
8,79,59
8,79,60
8,79,61
8,79,62
8,79,63
8,79,64
8,79,65
8,79,66
8,79,67
8,79,68
8,79,69
8,79,70
8,79,71
8,79,90
8,79,91
8,79,92
8,79,93
8,80,37
8,80,40
8,80,41
8,80,42
8,80,57
8,80,60
8,80,61
8,80,62
8,80,63
8,80,64
8,80,65
8,80,66
8,80,67
8,80,68
8,80,69
8,80,70
8,80,71
8,80,87
8,80,88
8,80,91
8,80,92
8,80,114
8,80,115
8,81,37
8,81,41
8,81,60
8,81,61
8,81,62
8,81,63
8,81,64
8,81,65
8,81,66
8,81,67
8,81,68
8,81,69
8,81,70
8,81,71
8,81,72
8,81,87
8,81,88
8,81,89
8,81,114
8,82,40
8,82,41
8,82,61
8,82,62
8,82,63
8,82,64
8,82,65
8,82,66
8,82,68
8,82,69
8,82,70
8,82,71
8,82,72
8,82,87
8,83,41
8,83,62
8,83,63
8,83,64
8,83,65
8,83,66
8,84,63
8,84,64
8,84,119
8,86,43
8,86,44
8,86,87
8,86,88
8,87,46
8,87,87
8,87,88
8,88,85
8,88,86
8,88,88
8,89,62
8,89,63
8,89,87
8,90,56
8,90,62
8,90,63
8,91,55
8,91,56
8,91,57
8,91,58
8,91,61
8,92,55
8,92,57
8,92,58
8,92,60
8,92,61
8,102,64
8,103,60
8,103,61
8,103,63
8,104,60
8,104,61
8,105,60
8,108,53
8,118,94
8,118,95
8,118,96
8,119,93
8,119,94
8,119,95
8,119,96
8,119,97
8,119,98
8,119,99
8,120,89
8,120,90
8,120,96
8,120,97
8,120,99
8,121,90
8,121,93
8,121,94
8,122,76
8,122,77
8,122,90
8,122,91
8,122,93
8,122,94
8,122,97
8,123,78
8,123,90
8,123,91
8,123,94
8,123,95
8,123,96
8,123,97
8,123,98
8,123,99
8,124,79
8,124,80
8,124,86
8,124,89
8,124,91
8,124,92
8,124,98
8,124,99
8,124,100
8,125,78
8,126,78
8,126,89
8,127,73
8,127,93
8,127,94
8,128,90
8,128,91
8,128,94
8,129,91
8,129,92
8,129,93
8,129,94
8,130,91
8,130,92
8,130,94
8,131,93
8,132,69
8,132,89
8,132,91
8,132,92
8,133,88
8,133,89
8,133,90
8,133,91
8,133,92
8,134,90
8,134,92
8,134,93
8,134,94
8,135,75
8,135,89
8,135,90
8,135,93
8,135,95
8,135,96
8,136,68
8,136,69
8,136,70
8,136,89
8,136,93
8,136,96
8,137,67
8,137,68
8,137,69
8,137,70
8,137,85
8,137,89
8,138,64
8,138,65
8,138,66
8,138,67
8,138,68
8,138,70
8,138,71
8,138,86
8,138,89
8,139,61
8,139,62
8,139,63
8,139,64
8,139,65
8,139,66
8,139,67
8,139,68
8,139,69
8,139,70
8,139,71
8,139,85
8,139,92
8,139,97
8,140,60
8,140,61
8,140,62
8,140,63
8,140,64
8,140,65
8,140,66
8,140,67
8,140,68
8,140,69
8,140,70
8,140,92
8,141,60
8,141,61
8,141,62
8,141,63
8,141,64
8,141,65
8,141,66
8,141,67
8,141,68
8,141,69
8,141,70
8,141,91
8,141,92
8,141,93
8,142,59
8,142,60
8,142,61
8,142,62
8,142,63
8,142,64
8,142,65
8,142,66
8,142,67
8,142,68
8,142,91
8,142,92
8,142,93
8,142,94
8,142,95
8,142,96
8,143,60
8,143,61
8,143,62
8,143,63
8,143,64
8,143,65
8,143,66
8,143,67
8,143,90
8,143,91
8,143,93
8,143,94
8,143,95
8,143,96
8,143,97
8,143,98
8,144,60
8,144,61
8,144,62
8,144,63
8,144,64
8,144,65
8,144,90
8,144,91
8,144,95
8,144,96
8,144,97
8,144,98
8,145,64
8,145,65
8,145,95
8,145,101
8,146,95
8,146,96
8,146,97
8,146,101
8,147,97
8,147,99
8,148,61
8,148,69
8,148,96
8,148,97
8,148,98
8,148,99
8,148,100
8,149,96
8,149,97
8,149,98
8,149,99
8,149,100
8,150,64
8,150,97
8,150,98
8,150,99
8,150,101
8,151,59
8,151,60
8,151,61
8,151,62
8,151,97
8,151,98
8,151,99
8,151,101
8,152,61
8,152,62
8,152,98
8,152,99
8,152,100
8,153,98
8,153,99
8,153,100
8,154,97
8,154,98
8,154,99
8,155,96
8,155,97
8,155,98
8,155,99
8,156,96
8,156,97
8,156,98
8,157,93
8,157,96
8,157,97
8,157,98
8,158,93
8,158,96
8,158,97
8,158,98
8,159,95
8,159,96
8,159,97
8,159,98
8,159,99
8,160,97
8,160,99
8,160,100
8,160,101
8,161,97
8,161,101
8,161,102
8,162,99
8,162,101
8,162,102
8,165,102
8,165,103
8,166,102
8,167,100
8,168,82
8,168,83
8,168,84
8,168,85
8,169,74
8,169,75
8,169,82
8,169,83
8,169,84
8,169,85
8,169,87
8,170,69
8,170,70
8,170,73
8,170,74
8,170,75
8,170,76
8,170,77
8,170,78
8,170,79
8,170,80
8,170,81
8,170,82
8,170,83
8,170,84
8,171,65
8,171,66
8,171,67
8,171,74
8,171,75
8,171,76
8,171,77
8,171,78
8,171,80
8,171,81
8,171,82
8,171,83
8,171,84
8,171,85
8,171,86
8,172,64
8,172,65
8,172,66
8,172,84
